Hugo_Symbol,n
CLOCK,13
CLSTN2,13
CNGB3,13
CNTN2,13
CNTNAP1,13
COL3A1,13
COL6A1,13
COPG1,13
CP,13
CRIM1,13
CSTF3,13
CYP11B2,13
DCLK2,13
DCTN1,13
DGKB,13
DGKI,13
DGKK,13
DHX9,13
DIP2B,13
DLG5,13
DOCK6,13
DPYSL5,13
DUSP10,13
DUSP27,13
DZANK1,13
ECE2,13
EDAR,13
EHD1,13
EIF2AK4,13
EMR3,13
EPHB2,13
EPRS,13
ERCC6L,13
ESF1,13
ESRRG,13
ETS1,13
EXOC2,13
FAM179B,13
FAM184A,13
FAM208A,13
FANCA,13
FANCI,13
FOLH1,13
FSHR,13
FSIP2,13
FYCO1,13
GAB3,13
GABRA5,13
GABRB2,13
GALNT7,13
GANAB,13
GBF1,13
GLI2,13
GNPAT,13
GPATCH1,13
GRIP2,13
HIST1H2BC,13
HIST1H2BN,13
HIST2H2BE,13
HPS4,13
IFT172,13
IGSF9,13
ILF3,13
INPPL1,13
INTS2,13
INTS4,13
IQGAP2,13
IQSEC3,13
ITGAM,13
ITGAV,13
ITGB4,13
JAK1,13
KANK1,13
KCND3,13
KCNH1,13
KCNH6,13
KCNK18,13
KCNMA1,13
KCNQ2,13
KCNQ5,13
KDM4A,13
KDM5C,13
KIAA0195,13
KIAA1199,13
KIAA1549,13
KIT,13
KLHL13,13
KLHL7,13
LARP1,13
LIFR,13
LMOD1,13
LRGUK,13
LRP6,13
LRRC41,13
MAGEC1,13
MAGI3,13
MARCH10,13
MCM7,13
MDGA2,13
MED14,13
MED24,13
MEI1,13
MET,13
MOV10,13
MYH3,13
MYO9B,13
NEK5,13
NFATC2,13
NFE2L3,13
NLRC3,13
NLRP12,13
NOMO1,13
NOTCH4,13
NPAP1,13
NPC1,13
NRIP1,13
NSUN5P2,13
NUP153,13
NUP155,13
NUP205,13
OCRL,13
ODF2,13
OLFML2B,13
OR4C15,13
OR7D2,13
OSBPL3,13
OXR1,13
PALLD,13
PARP9,13
PAX3,13
PCDH10,13
PCDHA11,13
PCDHA8,13
PCDHB11,13
PCDHB13,13
PCDHB14,13
PCDHGA2,13
PCDHGA9,13
PCDHGB4,13
PCDHGB6,13
PCYT1B,13
PDE10A,13
PDE4C,13
PDE4D,13
PHF12,13
PHKA1,13
PLA2R1,13
PLEKHG2,13
PLEKHG4B,13
PLK2,13
PLXNB2,13
PMS2,13
POSTN,13
POU2F2,13
PPFIA4,13
PPL,13
PPP1R12A,13
PPP2R3A,13
PRDM1,13
PREPL,13
PRKD3,13
PROX1,13
PRR14L,13
PSG9,13
PSIP1,13
PTK2,13
PTPN22,13
QSOX1,13
RAD50,13
RANBP6,13
RBM10,13
RBM12,13
RBM27,13
RECQL4,13
RET,13
RFX4,13
RGPD4,13
ROCK2,13
RPS6KA2,13
RUFY1,13
SATB1,13
SBF1,13
SBNO1,13
SCYL3,13
SEC24C,13
SELP,13
SEMA3A,13
SETBP1,13
